Holder,HRI,Combeys
 erd1qqqqqqqqqqqqqpgqd9rvv2n378e27jcts8vfwynpx0gfl5ufz6hqhfy0u0,19.641927083333336,4
 erd1qqqqqqqqqqqqqpgqk3utud9wht5hg6gqpshyghfwnk6ermx0jxkqhxg2qq,101.0,1
 erd1qqqqqqqqqqqqqpgqz2tgn80j5p5hqh4hx69uc27gz0drcjmmg20skf0wru,5.922172619542306,11
 erd1qw4qh64mpyx50xvmnfscj4ntczmn5q52tna6j4p9ar8qka7cl5aq6ckdh0,17.297445746527778,5
 erd1qwxacqlytzrq9y86ancflg82wgcqdtvnqqflfad40v4mkjhz4s2qx7lnjn,733.5,1
 erd1r6fhkgq3ghzp0dy2qr4wum29wmqx92y0kqkjkjl204adjxz6ee6qcyftwa,345.0,1
 erd1rh5ddjpw7688vez7kcy20apmen326hkf97j4enmmvwx9m20xx9qqjq4qy2,1.8671236275578724,10
 erd1rzmh8a9v8ku5483jyztg0e6jtf4fgud5l7unqfn6lcntwcuqphfqxnw2nj,10.819661458333334,4
 erd1s0sh4p7da28pgyc9havcldngmf435ltg5kedfcxw4ud5du76fa5qk9hl2t,126.5,1
 erd1s26a7qf2vx42xgnng0wprzlzxd4s0m8ycm6s0uas3c6j4fsf79dsaaq6f9,25.2900390625,4
 erd1sc8w58xys9t66gaa9plehdaqtp0rn9hhqxkh2gswpkdmk5q4wj5q769jt6,397.0,1
 erd1spnf0u03a9p0yw3gq0sgy5nnwwu8r9zjnp6ftkafjlc3hdgy678sq3s4gp,346.5,1
 erd1sxfx4fmad3yl9yc8mxgtleyqzl0slpvq8h3faz358tntdxnh0t7qd6d5gy,753.5,1
 erd1t37ls0wr5qt9xr5ch94z8rvxq73yegs3q6ue4ws98q008qr3ukps3k7ymj,37.85069444444444,3
 erd1td288ugy6w0p9hy8gy623yhdwwpplpfum5htwetnf6t4v847z6psyp7tx0,34.95833333333333,3
 erd1thdvfjre990ksl684lykjp79wn5lf75agnphsy3wnpp024nd2easacgn0s,591.0,1
 erd1tkzjrca8a4aqjlx95e8h9qfcfyqn9yw4hrj67te5j4agjlkpq7esdy4j0a,756.0,1
 erd1tpkcw2ulkxyws4phhz4rwdzrjv0anm95ndcv9z2gk7dufe7dugcs5ry4q6,21.6875,2
 erd1tsx3z7u3sdf54srmh3x4n38jcjyh5ad6gu6u262g8rfnf8y6gfds0aw9tu,17.276301239390435,6
 erd1tsyg6hhyvycmajr4n56xd77xz66ladxxz7cawl44fx5xfa7q63qs7ytufa,49.5,1
 erd1twgh60gzhwvsycczl4cz4kfzrm6uwrk33mlp83y04anm9qu95eese8evqw,689.0,1
 erd1txprreyduvczs2r37q0lfk30ujum6z7klcdh56cplk3aqyr4qmkspxz2qa,573.5,1
 erd1tyycyldmcckka6qyjdgpnl5huj6uqrala3fxt2ncv7s2csuvgmkqj9mmpa,2.846442832778045,12
 erd1u4n9w9xfwwfl756xncs3v67mln8kq8w4efukqhlw4d7dr89zn5ws9g8jag,148.0,1
 erd1u88h2jshqmsnu5l89mglpmcsu3lrkvkg7plhnxd2du5nytc0laqqxx26sg,141.5,1
 erd1uk0jl6lpc7pzx0srs8y9w24w0v3qzldrlczkmmwpdm9z5h8pzf0svpu64y,200.5,1
 erd1un6padyugvjj54azhusdsane2euu7ypynsep76lsslcn0ustk2vqa5ufxt,84.5,1
 erd1uqfrre8j8tlgnzjzkgyzty8hgwlh48pesvrn5q6p9emlh9p9zlgq4re67d,537.0,1
 erd1uvn7nvq485aythttfk4yw782shqey68tak37ksdf8p2ta7v7sqes0k354r,199.5625,2
 erd1vctd5p4wjrrykdjrxp5kqkz5v2c0evevadzk53entctrct0npm0s392ftj,6.7480788866331425,10
 erd1vcyy4s7puv5dyrv4xj6f8u3zqyuhyu3jpslfynh2rfh0wj5gtsqq5wkktq,128.0,1
 erd1vd8j4qq3t0j2dh3ueddvc23q4lf7cw708ksmydewqdj8wf4y08xq9magt3,154.0,1
 erd1vft3k98xjqvyyds39qwspzywlwpfwjsqpqcfc8fl39aygeyylatql9jpd0,51.0,1
 erd1vhqul4766w5wcd66cd0yw9p0z0g9qdwenrkkjugdp2ufh49ll2cqj4gk8f,429.5,1
 erd1vm0g9f78l7ag6xrxql0nnq8jupnjhsjugxsxgk327h6la37gxp0q9kxpy6,0.9232847145198938,26
 erd1vwpuhs4lcm4smdr2n7zr2svs8megr6xa4mz04wtz3ml6xtlr337qh0e6ku,454.0,1
 erd1vyts9yz6tgrs8htn4fs48cdla57lwfuraj454xkmc6yu0c4x6yss88n3tl,55.232638888888886,3
 erd1w2dzy6su8k44pfqyvrskhajmyq9au4a0axuntvnmkpwf9pqgprws6mjxhw,292.4375,2
 erd1w8j0meqp0dxuk67me72hrhdtarx9u3kmwxtjvncp89s720wqvl8sj7lfmd,0.11908294849681639,53
 erd1w97hs27ederkc86wazkhx9y3t3s9ltyrjmecxjwm8eqxtrxm7s7ssgxary,371.0,1
 erd1wc3qkg3f9ad5p5dafcafyc5ecpl0we4sq3euguwj2x76ys4cvr8qccg70w,688.5,1
 erd1wcw4jrrqt4v7jfsth3058hc93wft64233u9rvtw3y48nspf7g2kq33ram9,258.5,1
 erd1wdkxa8tjrqx3wjm2t6mssuv0sa30nhjympet9h34cuyaj95ve45q4r9adu,431.0,1
 erd1wdpaa9zq7zdvyptd8pp2twmaj4zc0c64lms27qk943c3qk2ql8eqtnlpe3,320.5,1
 erd1wk0hcu2ldmr58hspkzx7xvvle7hvlz8q3n0ux8k2tr2qz7kunkms679kcj,1.9035203392721243,10
