identifier,rank,edition
COMBEYS-bc640d-0587,1048,1404
COMBEYS-bc640d-0415,1047,1030
COMBEYS-bc640d-01aa,1046,400
COMBEYS-bc640d-053e,1045,1330
COMBEYS-bc640d-0226,1044,528
COMBEYS-bc640d-0499,1043,1163
COMBEYS-bc640d-01b7,1042,413
COMBEYS-bc640d-05eb,1041,1505
COMBEYS-bc640d-c1,1040,164
COMBEYS-bc640d-03e0,1039,976
COMBEYS-bc640d-6c,1038,88
COMBEYS-bc640d-0585,1037,1402
COMBEYS-bc640d-0602,1036,1528
COMBEYS-bc640d-0233,1035,542
COMBEYS-bc640d-051f,1034,1299
COMBEYS-bc640d-02e2,1033,719
COMBEYS-bc640d-02d7,1032,708
COMBEYS-bc640d-05fa,1031,1520
COMBEYS-bc640d-01e5,1030,461
COMBEYS-bc640d-0446,1029,1080
COMBEYS-bc640d-04aa,1028,1180
COMBEYS-bc640d-0597,1027,1420
COMBEYS-bc640d-0393,1026,898
COMBEYS-bc640d-05f3,1025,1513
COMBEYS-bc640d-0256,1024,577
COMBEYS-bc640d-03b8,1023,935
COMBEYS-bc640d-04d3,1022,1222
COMBEYS-bc640d-0611,1021,1543
COMBEYS-bc640d-0311,1020,766
COMBEYS-bc640d-0493,1019,1157
COMBEYS-bc640d-0553,1018,1351
COMBEYS-bc640d-045f,1017,1105
COMBEYS-bc640d-021d,1016,518
COMBEYS-bc640d-02b9,1015,678
COMBEYS-bc640d-bb,1014,158
COMBEYS-bc640d-05de,1013,1492
COMBEYS-bc640d-0554,1012,1352
COMBEYS-bc640d-05be,1011,1459
COMBEYS-bc640d-0365,1010,852
COMBEYS-bc640d-02d9,1009,710
COMBEYS-bc640d-02b8,1008,677
COMBEYS-bc640d-05b5,1007,1450
COMBEYS-bc640d-0213,1006,508
COMBEYS-bc640d-b2,1005,149
COMBEYS-bc640d-02bb,1004,680
COMBEYS-bc640d-0435,1003,1063
COMBEYS-bc640d-049d,1002,1167
COMBEYS-bc640d-98,1001,123
COMBEYS-bc640d-0148,1000,300
COMBEYS-bc640d-04f1,999,1253
COMBEYS-bc640d-037b,998,874
COMBEYS-bc640d-7f,997,47
COMBEYS-bc640d-04f2,996,1254
COMBEYS-bc640d-05a4,995,1433
COMBEYS-bc640d-0203,994,491
COMBEYS-bc640d-0557,993,1355
COMBEYS-bc640d-d6,992,185
COMBEYS-bc640d-0235,991,544
COMBEYS-bc640d-9c,990,127
COMBEYS-bc640d-0274,989,609
COMBEYS-bc640d-02a3,988,656
COMBEYS-bc640d-04ea,987,1246
COMBEYS-bc640d-f3,986,215
COMBEYS-bc640d-02d3,985,704
COMBEYS-bc640d-046e,984,1120
COMBEYS-bc640d-d5,983,184
COMBEYS-bc640d-022a,982,532
COMBEYS-bc640d-da,981,189
COMBEYS-bc640d-016d,980,337
COMBEYS-bc640d-047e,979,1136
COMBEYS-bc640d-015e,978,321
COMBEYS-bc640d-01f3,977,475
COMBEYS-bc640d-0221,976,522
COMBEYS-bc640d-9d,975,128
COMBEYS-bc640d-01e7,974,463
COMBEYS-bc640d-0563,973,1367
COMBEYS-bc640d-04d2,972,1220
COMBEYS-bc640d-020e,971,502
COMBEYS-bc640d-28,970,14
COMBEYS-bc640d-034d,969,828
COMBEYS-bc640d-b9,968,156
COMBEYS-bc640d-0146,967,298
COMBEYS-bc640d-0289,966,630
COMBEYS-bc640d-04a3,965,1173
COMBEYS-bc640d-044c,964,1086
COMBEYS-bc640d-0107,963,235
COMBEYS-bc640d-027e,962,619
COMBEYS-bc640d-052f,961,1315
COMBEYS-bc640d-0314,960,769
COMBEYS-bc640d-02ae,959,667
COMBEYS-bc640d-012c,958,272
COMBEYS-bc640d-d9,957,188
COMBEYS-bc640d-02b7,956,676
COMBEYS-bc640d-0241,955,556
COMBEYS-bc640d-041e,954,1039
COMBEYS-bc640d-01fd,953,485
COMBEYS-bc640d-0552,952,1350
COMBEYS-bc640d-059b,951,1424
COMBEYS-bc640d-02e3,950,720
COMBEYS-bc640d-01eb,949,467
COMBEYS-bc640d-02f5,948,738
COMBEYS-bc640d-43,947,42
COMBEYS-bc640d-02ff,946,748
COMBEYS-bc640d-01cd,945,437
COMBEYS-bc640d-0186,944,363
COMBEYS-bc640d-03cf,943,959
